epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6812.63,0.62393,0.61969,1.165,0.93617,0.84337,0.92562,0.60682,1.22756,0.69138,1.41234,0.00253024,0.00253024,0.00253024
69,6913.06,0.61639,0.60987,1.15856,0.91434,0.85542,0.92822,0.61844,1.18937,0.67854,1.37664,0.00239766,0.00239766,0.00239766
70,7010.75,0.60669,0.60787,1.15578,0.91629,0.85542,0.92893,0.62171,1.19851,0.67875,1.38134,0.00226769,0.00226769,0.00226769
71,7109.72,0.60556,0.58861,1.15334,0.92351,0.85197,0.92629,0.6202,1.19655,0.66751,1.36948,0.00214046,0.00214046,0.00214046
72,7208.82,0.59853,0.5853,1.15275,0.93168,0.845,0.92472,0.61738,1.20404,0.67447,1.36919,0.00201611,0.00201611,0.00201611
73,7307.78,0.60229,0.58786,1.15113,0.90908,0.86049,0.92286,0.61867,1.19758,0.66567,1.37134,0.00189475,0.00189475,0.00189475
74,7407.64,0.59657,0.58879,1.14784,0.92204,0.83459,0.92242,0.61163,1.20493,0.67056,1.3778,0.00177651,0.00177651,0.00177651
75,7500.03,0.59848,0.58341,1.1472,0.90163,0.86403,0.92655,0.61707,1.20392,0.66327,1.3765,0.00166149,0.00166149,0.00166149
76,7592.64,0.5984,0.58008,1.14608,0.90918,0.86231,0.92688,0.62306,1.17781,0.66636,1.3564,0.00154982,0.00154982,0.00154982
77,7690.65,0.58733,0.57441,1.14327,0.91836,0.87123,0.93095,0.62974,1.16481,0.65263,1.34248,0.00144161,0.00144161,0.00144161
78,7792.01,0.58711,0.57665,1.14143,0.91279,0.86468,0.93167,0.62824,1.17571,0.64805,1.35702,0.00133695,0.00133695,0.00133695
79,7893.31,0.5832,0.56751,1.13998,0.90866,0.86059,0.92946,0.63372,1.15708,0.64373,1.33616,0.00123596,0.00123596,0.00123596
80,7993.29,0.58245,0.56915,1.14038,0.90871,0.87374,0.93052,0.63008,1.17575,0.64342,1.34546,0.00113873,0.00113873,0.00113873
81,8092.02,0.5744,0.56242,1.13141,0.92725,0.86059,0.93251,0.62564,1.19605,0.6431,1.35796,0.00104537,0.00104537,0.00104537
82,8180.02,0.57362,0.55801,1.13118,0.92566,0.88124,0.93427,0.62502,1.20347,0.64557,1.36756,0.000955951,0.000955951,0.000955951
83,8268.62,0.56705,0.55701,1.13011,0.92994,0.8682,0.93395,0.63072,1.17406,0.63479,1.34231,0.000870577,0.000870577,0.000870577
84,8356.1,0.57249,0.55305,1.13091,0.922,0.8749,0.93499,0.63438,1.17443,0.6342,1.34525,0.000789327,0.000789327,0.000789327
85,8443.31,0.56477,0.54561,1.1282,0.91331,0.88812,0.93662,0.63199,1.18048,0.63211,1.35002,0.000712282,0.000712282,0.000712282
86,8530.95,0.56197,0.54489,1.12691,0.90997,0.88724,0.93723,0.6328,1.18277,0.6267,1.35198,0.000639518,0.000639518,0.000639518
87,8618.98,0.55038,0.53019,1.11639,0.91919,0.88812,0.93592,0.63016,1.19717,0.62635,1.3656,0.000571106,0.000571106,0.000571106
88,8706.53,0.55482,0.53589,1.12117,0.91145,0.88583,0.93391,0.63513,1.19197,0.62362,1.36441,0.000507115,0.000507115,0.000507115
89,8793.87,0.55578,0.53556,1.12315,0.90484,0.88124,0.93243,0.63274,1.19449,0.62485,1.36282,0.000447606,0.000447606,0.000447606
90,8893.41,0.54471,0.52439,1.11262,0.91139,0.88468,0.93606,0.63327,1.19315,0.62551,1.36546,0.00039264,0.00039264,0.00039264
